,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
6612,08/28/2020,MA,127306,117888.0,9418.0,438,0.0,9024,8791.0,233.0,16,0.0,08/29/2020 01:42:50 PM,Agree,Agree
6613,02/08/2020,MD,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,Agree
6614,04/24/2020,ID,1870,1750.0,120.0,34,5.0,54,54.0,0.0,0,-18.0,05/25/2020 03:38:40 PM,Agree,Agree
6615,05/07/2020,KY,6129,6129.0,0.0,195,0.0,294,294.0,0.0,11,0.0,05/08/2020 09:26:08 PM,Agree,Agree
6616,08/18/2020,IL,210926,209594.0,1332.0,1740,0.0,7993,7782.0,211.0,26,0.0,08/19/2020 02:23:51 PM,Agree,Agree
6617,10/10/2020,WI,155602,147560.0,8042.0,2971,229.0,1468,1458.0,10.0,17,-1.0,10/11/2020 01:47:22 PM,Agree,Agree
6618,10/05/2020,MS,100703,92313.0,8390.0,0,0.0,3013,2765.0,248.0,0,0.0,10/06/2020 01:33:58 PM,Agree,Agree
6619,04/27/2020,MI,38210,38210.0,0.0,432,0.0,3407,3407.0,0.0,92,0.0,05/25/2020 03:38:40 PM,Agree,Agree
6620,11/21/2020,GA,446804,402435.0,44369.0,6213,3185.0,9179,8624.0,555.0,37,4.0,11/22/2020 03:02:23 PM,Agree,Agree
6621,03/13/2020,TN,26,,,8,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
6622,09/30/2020,NY,214608,,,554,0.0,9041,,,5,0.0,10/01/2020 01:42:11 PM,Not agree,Not agree
6623,07/15/2020,SC,62245,62071.0,174.0,1856,5.0,998,984.0,14.0,5,5.0,07/16/2020 02:22:21 PM,Agree,Agree
6624,03/19/2020,AS,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,
6625,09/23/2020,VA,143492,136448.0,7044.0,902,80.0,3113,2907.0,206.0,24,-1.0,09/24/2020 01:54:02 PM,Agree,Agree
6626,02/28/2020,NYC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
6627,08/14/2020,MD,99693,,,818,0.0,3636,3499.0,137.0,5,1.0,08/15/2020 02:02:05 PM,,Agree
6628,01/20/2021,AR,276114,,,2520,1030.0,4441,,,55,19.0,01/21/2021 02:44:32 PM,Not agree,Not agree
6629,08/01/2020,WY,2769,2297.0,472.0,43,0.0,26,26.0,0.0,0,0.0,08/02/2020 02:54:37 PM,Agree,Agree
6630,05/30/2020,VA,44607,42499.0,2108.0,996,26.0,1375,1274.0,101.0,5,0.0,05/31/2020 02:43:17 PM,Agree,Agree
6631,10/27/2020,VA,176754,164308.0,12446.0,1345,376.0,3616,3364.0,252.0,16,2.0,10/28/2020 01:52:28 PM,Agree,Agree
6632,09/25/2020,RMI,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,09/26/2020 01:46:07 PM,Agree,Agree
6633,04/28/2020,NV,4812,,,122,7.0,232,,,19,0.0,04/29/2020 06:12:08 PM,,
6634,05/24/2020,ND,2418,2418.0,0.0,53,0.0,53,,,1,0.0,05/25/2020 02:12:49 PM,Agree,Not agree
6635,04/10/2020,OH,5878,,,366,,231,,,18,,04/09/2020 04:22:39 PM,Agree,Agree
6636,09/03/2020,WI,82922,77856.0,5066.0,740,13.0,1154,1146.0,8.0,4,0.0,09/04/2020 01:36:16 PM,Agree,Agree
